virus1,virus2
Canine coronavirus HuPn-2018,Tegacovirus
BtKY72/Rhinolophus sp./Kenya/2007,SARSr-CoV
Arnidovirineae,니도바이러스목
Brangacovirus,Gammacoronavirus
Rousettus bat coronavirus HKU9,Nobecovirus
Sorex araneus coronavirus T14,Soracovirus
Middle East respiratory syndrome coronavirus,Betacoronavirus
Middle East respiratory syndrome coronavirus,Merbecovirus
Turrinivirus,Medionivirinae
Dumedivirus,Alphamononivirus
Oncotshavirus,Piscanivirinae
Tiamatvirinae,Abyssoviridae
Luchacovirus,Alphacoronavirus
Cegacovirus,Gammacoronavirus
Crustonivirinae,Euroniviridae
Deltacoronavirus,Orthocoronavirinae
Nam Dinh virus,Alphamesonivirus 1
Eurpobartevirus,Betaarterivirus
Minacovirus,Alphacoronavirus
Epsilonarterivirus hemcep,Sheartevirus
Sajorinivirus,Hyporhamsavirinae
Abnidovirineae,니도바이러스목
Serpentovirinae,Tobaniviridae
Alphamesonivirus 10,Namcalivirus
Remotovirinae,Tobaniviridae
BtCoV/BM48-31/Rhi bla/Bulgaria/2008,SARSr-CoV
Bolenivirus,Tunicanivirinae
Piscanivirinae,Tobaniviridae
Igacovirus,Gammacoronavirus
Ceronivirinae,Euroniviridae
Hyporhamsavirinae,Nanhypoviridae
Minunacovirus,Alphacoronavirus
Thetaarterivirus mikelba 1,Mitartevirus
SARS-CoV-1,SARSr-CoV
Oligodon snake nidovirus 1,Kukrinivirus
Betacoronavirus,Orthocoronavirinae
Betaarterivirus chinrav 1,Chibartevirus
Muarterivirus afrigant,Muarterivirus
Alphaabyssovirus,Tiamatvirinae
Betaarterivirus,Variarterivirinae
Casualivirus,Alphamesonivirus
Gammaarterivirus,Variarterivirinae
RaTG13,SARSr-CoV
Bat SARS-like coronavirus WIV1,SARSr-CoV
Alphaarterivirus equid,Alphaarterivirus
Rousettus bat coronavirus HKU10,Decacovirus
Mononivirinae,Mononiviridae
Paguronivirus,Crustonivirinae
Enselivirus,Alphamesonivirus
Myotacovirus,Alphacoronavirus
Gofosavirinae,Olifoviridae
Iotaarterivirus kibreg 1,Kigiartevirus
Deltaarterivirus pejah,Pedartevirus
Snaturtovirus,Pregotovirus
Coronaviridae,니도바이러스목
Porcine coronavirus HKU15,Buldecovirus
Lucheng Rn rat coronavirus,Luchacovirus
Scotophilus Bat coronavirus 512,Pedacovirus
Alphaletovirus,Letovirinae
Rabbit Coronavirus HKU14,Embecovirus
Zetaarterivirus ugarco 1,Zetaarterivirus
Balbicanovirus,Bolenivirus
Hexponivirinae,Mesoniviridae
Hanalivirus,Alphamesonivirus
Nyctacovirus,Alphacoronavirus
Pontunivirus,Rodepovirinae
Kappaarterivirus,Zealarterivirinae
Pedacovirus,Alphacoronavirus
Euroniviridae,Ronidovirineae
Soracovirus,Alphacoronavirus
Duck coronavirus 2714,Igacovirus
Rhinolophus ferrumequinum alphacoronavirus HuB-2013,Decacovirus
Myotis ricketti alphacoronavirus Sax-2011,Myotacovirus
Kadilivirus,Alphamesonivirus
NL63-related bat coronavirus strain BtKYNL63-9b,Setracovirus
Muarterivirus,Crocarterivirinae
Tunicanivirinae,Medioniviridae
Ferret coronavirus,Minacovirus
Sectovirus,Serpentovirinae
Rhinacovirus,Alphacoronavirus
Karsalivirus,Alphamesonivirus
Quail coronavirus UAE-HKU30,Buldecovirus
Rhinolophus Bat coronavirus HKU2,Rhinacovirus
Tiruvirus,Serpentovirinae
Nanghoshaviridae,Nanidovirineae
Thetaarterivirus kafuba,Kaftartevirus
Cavally virus,Alphamesonivirus 1
Mitartevirus,Thetaarterivirus
Nyctalus velutinus alphacoronavirus SC-2013,Nyctacovirus
Hepoptovirus,Infratovirus
Bat SARS coronavirus Rp1,SARSr-CoV
Medionivirinae,Medioniviridae
Menolivirus,Alphamesonivirus
Cradenivirus,Charybnivirus
Setracovirus,Alphacoronavirus
Bat Hp-betacoronavirus Zhejiang2013,Hibecovirus
China Rattus coronavirus HKU24,Embecovirus
Alphacoronavirus 1,Tegacovirus
Chinturpovirus 1,Pontunivirus
Milecovirus,Alphaletovirus
Avian coronavirus,Igacovirus
Ampobartevirus,Betaarterivirus
Betacoronavirus 1,Embecovirus
Bat SARS CoV Rp3,SARSr-CoV
Munia coronavirus HKU13,Buldecovirus
Bat SARS CoV Rf1,SARSr-CoV
Myodes coronavirus 2JL14,Embecovirus
Microhyla letovirus 1,Milecovirus
Olifoviridae,Arnidovirineae
Goose coronavirus CB17,Brangacovirus
Namcalivirus,Alphamesonivirus
RacCS203,SARSr-CoV
Tegacovirus,Alphacoronavirus
Orthocoronavirinae,Coronaviridae
Alphamesonivirus 8,Enselivirus
Ofalivirus,Alphamesonivirus
Bosnitovirus,Bostovirus
Pregotovirus,Serpentovirinae
Embecovirus,Betacoronavirus
Rhinolophus sinicus bat coronavirus HKU32,Decacovirus
Human torovirus,Torovirus
Chibartevirus,Betaarterivirus
Gammacoronavirus,Orthocoronavirinae
Porcine torovirus,Renitovirus
Porcine torovirus,Torovirus
Bat coronavirus HKU10,Decacovirus
Bat coronavirus CDPHE15,Colacovirus
Salnivirus,Oncotshavirus
Alphamesonivirus 1,Alphamesonivirus
Alphamesonivirus 1,Namcalivirus
Mink coronavirus 1,Minacovirus
Betaarterivirus suid 2,Ampobartevirus
Rousettus bat coronavirus GCCDC1,Nobecovirus
Chimanivirinae,Nanghoshaviridae
Sunacovirus,Alphacoronavirus
Behecravirus,Paguronivirus
Alphamesonivirus 7,Kadilivirus
Hibecovirus,Betacoronavirus
Halfbeak nidovirus 1,Sajorinivirus
Equine torovirus,Torovirus
Equine torovirus,Renitovirus
Letovirinae,Coronaviridae
Torovirinae,Tobaniviridae
Torovirinae,Coronaviridae
Beluga whale coronavirus SW1,Cegacovirus
Gammaarterivirus lacdeh,Gammaarterivirus
Tipravirus,Okavirus
Bovine torovirus,Torovirus
Bovine torovirus,Renitovirus
Abyssoviridae,Abnidovirineae
Merbecovirus,Betacoronavirus
